α	alpha
ταλιθά	talitha (Aramaic: <i>little girl</i>)
ταμεῖον	room
ταμιεῖον	concerning the present
τάξις	order
ταπεινός	humble
ταπεινοφροσύνη	humility
ταπεινόφρων	humble
ταπεινόω	(act.) to humble (oneself)
ταπείνωσις	humbleness
ταράσσω	to trouble
ταραχή	disturbance
τάραχος	commotion
Ταρσεύς	Tarsus
Ταρσός	Tarsus
ταρταρόω	to send to hell
τάσσω	(act./mid.) to appoint
ταῦρος	bull
ταφή	burial place
τάφος	tomb
τάχα	perhaps
ταχέως	quickly
ταχινός	swift
τάχος	quickness
ταχύς	quick
τε	and
τεῖχος	wall
τεκμήριον	convincing proof
τεκνίον	dear children
τεκνογονέω	to have children
τεκνογονία	childbearing
τέκνον	child
τεκνοτροφέω	to bring up children
τεκνόω	to bear (a child)
τέκτων	carpenter
τελειόω	to perfect
τελείως	perfect
τελείωσις	perfection
τελειωτής	perfection
τελεσφορέω	to mature (to fruitfulness)
τελευτάω	to die
τελευτή	death
τελέω	to finish
τέλος	end
τελώνης	tax collector
τελώνιον	tax collector's booth
τέρας	wonder
Τέρτιος	Tertius
Τέρτουλλος	Tertullus
Τέρτυλλος	Tertullus
τεσσαρακονταετής	(of) forty years
τέσσαρες	four
τεσσαρεσκαιδέκατος	fourteenth
τεσσεράκοντα	forty
τεσσερακονταετής	(of) forty years
τεταρταῖος	fourth (day)
τέταρτος	fourth in a series or collection
τετρααρχέω	to be a tetrarch
τετραάρχης	tetrarch
τετράγωνος	square
τετράδιον	squad of four soldiers
τετρακισχίλιοι	four thousand
τετρακόσιοι	four hundred
τετράμηνος	(for) four months
τετραπλόος	four times (as much)
τετραπλοῦς	four times (as much)
τετράπους	four-footed
τεφρόω	to reduce to ashes by fire
τέχνη	skill
τεχνίτης	craftsman
τήκω	(pass.) to be melted
τηλαυγῶς	clearly
τηλικοῦτος	so great
τηνικαῦτα	at that time
τηρέω	to keep
τήρησις	jail
Τιβεριάς	Tiberias
Τιβέριος	Tiberius
τίθημι	(act.) to place
τίκτω	to give birth to
τίλλω	to pick (heads of grain)
Τιμαῖος	Timaeus
τιμάω	to honor
τιμή	honor
τίμιος	precious
τιμιότης	wealth
Τιμόθεος	Timothy
Τίμων	Timon
τιμωρέω	to punish
τιμωρία	punishment
τίνω	to pay (a price or penalty)
τις	who?
Τίτιος	Titius
τίτλος	sign
Τίτος	Titus
τοιγαροῦν	therefore
τοίνυν 	then
τοιόσδε	such as this
τοιοῦτος	such
τοῖχος	wall
τόκος	interest (on a monetary loan)
τολμάω	to dare
τολμηρός	bold
τολμηρότερον	rather boldly
τολμηροτέρως	rather boldly
τολμητής	bold man
τομός	cutting
τόξον	bow (weapon)
τοπάζιον	topaz (a bright yellow precious stone)
τόπος	place
τοσοῦτος	so great
τότε	then
τοὐναντίον	but
τοὔνομα	named
τουτέστι(ν)	that is to say
τράγος	male goat
τράπεζα	table
τραπεζίτης	banker
τραῦμα	(pl.) wounds
τραυματίζω	to wound
τραχηλίζω	(pass.) to be laid bare
τράχηλος	neck
τραχύς	rough
Τραχωνῖτις	Traconitis
τρεῖς	three
Τρεῖς ταβέρναι	Three Taverns
τρέμω	to tremble
τρέφω	to care for
τρέχω	to run
τρῆμα	eye (the hole in a needle through which thread is passed)
τριάκοντα	thirty
τριακόσιοι	three hundred
τρίβολος	thistle
τρίβος	path
τριετία	(for) three years
τρίζω	to gnash
τρίμηνος	a period of three months
τρίς	three times
τρίστεγον	third story (of a building)
τρισχίλιοι	three thousand
τρίτος	third
τρίχινος	made of hair
τρόμος	trembling
τροπή	shifting
τρόπος	manner
τροποφορέω	to endure
τροφή	food
Τρόφιμος	Trophimus
τροφός	mother
τροφοφορέω	to care for (as a nurse)
τροχιά	path
τροχός	wheel
τρύβλιον	bowl
τρυγάω	to gather or pick (grapes)
τρυγών	(pl.) doves
τρυμαλιά	eye (the tear-drop shaped hole of a needle through which thread is passed)
τρύπημα	eye (of a needle)
Τρύφαινα	Tryphena
τρυφάω	to live in luxury
τρυφή	luxury
Τρυφῶσα	Tryphosa
Τρῳάς	Troas
Τρωγύλλιον	Trogyllium
τρώγω	to eat
τυγχάνω	to take part in
τυμπανίζω	(pass.) to be tortured
τυπικῶς	as an example
τύπος	pattern
τύπτω	to strike
τύραννος	Tyrannus
τυρβάζω	(mid.) trouble oneself
Τύριος	Tyrian
Τύρος	Tyre
τυφλός	blind
τυφλόω	to cause blindness
τυφόω	(pass.) to be or become conceited
τύφω	(pass.) to smolder
τυφωνικός	of hurricane force
Τυχικός	Tychicus
ὑακίνθινος	dark blue
ὑάκινθος	jacinth
ὑάλινος	of glass
ὕαλος	glass
ὑβρίζω	to insult
ὕβρις	insult
ὑβριστής	insolent man
ὑγιαίνω	to be healthy
ὑγιής	healthy
ὑγρός	moist
ὑδρία	water jar
ὑδροποτέω	to drink water (exclusively)
ὑδρωπικός	suffering from dropsy (edema
ὕδωρ	water
ὑετός	rain
υἱοθεσία	adoption as sons
υἱός	son
ὕλη	forest
ὑμεῖς	see σύ
Ὑμέναιος	Hymenaeus
ὑμέτερος	(pl.) your
ὑμνέω	to sing hymns
ὕμνος	hymn
ὑπάγω	to go (away)
ὑπακοή	obedience
ὑπακούω	to obey
ὕπανδρος	married
ὑπαντάω	to go out to meet
ὑπάντησις	meeting
ὕπαρξις	property
ὑπάρχω	to have
ὑπείκω	to submit
ὑπεναντίος	opposing
ὑπέρ	(acc.) above
ὑπεραίρω	to become conceited
ὑπέρακμος	past one's prime
ὑπεράνω	far above
ὑπερασπίζω	to shield
ὑπεραυξάνω	to grow more and more
ὑπερβαίνω	to wrong
ὑπερβαλλόντως	more severely
ὑπερβάλλω	to go beyond
ὑπερβολή	all-surpassing
ὑπερέκεινα	beyond
ὑπερεκπερισσοῦ	immeasurably
ὑπερεκπερισσῶς	beyond all measure
ὑπερεκτείνω	to go too far
ὑπερεκχύννω	(pass.) to be running over
ὑπερεντυγχάνω	to intercede
ὑπερέχω	to govern
ὑπερηφανία	arrogance
ὑπερήφανος	proud
ὑπερλίαν	exceedingly
ὑπερνικάω	to thoroughly conquer
ὑπέρογκος	boastful
ὑπεροράω	to overlook
ὑπεροχή	authority
ὑπερπερισσεύω	to increase all the more
ὑπερπερισσῶς	beyond all measure
ὑπερπλεονάζω	to be (greatly) abundant
ὑπερυψόω	to exalt to the highest place
ὑπερφρονέω	to think too highly of oneself
ὑπερῷον	upstairs room
ὑπέχω	to experience
ὑπήκοος	obedient
ὑπηρετέω	to serve
ὑπηρέτης	servant
ὕπνος	sleep
ὑπό	(gen.) by
ὑποβάλλω	to secretly persuade
ὑπογραμμός	example
ὑπόδειγμα	example
ὑποδείκνυμι	to show
ὑποδεικνύω	to show
ὑποδέχομαι	to welcome
ὑποδέω	(mid.) to put on (sandals)
ὑπόδημα	sandal
ὑπόδικος	accountable
ὑποζύγιον	donkey
ὑποζώννυμι	to undergird
ὑποκάτω	(pp.*) under
ὑπόκειμαι	to lie below
ὑποκρίνομαι	to pretend
ὑπόκρισις	hypocrisy (an extension of an actor in a play
ὑποκριτής	hypocrite (an extension of an actor in a play
ὑπολαμβάνω	to take up
ὑπολαμπάς	window
ὑπόλειμμα	remnant
ὑπολείπω	(pass.) to be left
ὑπολήνιον	pit for a winepress
ὑπολιμπάνω	to leave behind
ὑπομένω	to stay behind
ὑπομιμνῄσκω	to remind
ὑπόμνησις	reminder
ὑπομονή	perseverance
ὑπονοέω	to think
ὑπόνοια	suspicion
ὑποπλέω	to sail to the lee of
ὑποπνέω	to blow gently (of wind)
ὑποπόδιον	footstool
ὑπόστασις	confidence
ὑποστέλλω	(act.) to draw back
ὑποστολή	shrinking back
ὑποστρέφω	to turn back toward
ὑποστρωννύω	to spread out
ὑποταγή	obedience
ὑποτάσσω	to put in subjection
ὑποτίθημι	(act.) to risk
ὑποτρέχω	to sail to the lee of
ὑποτύπωσις	example
ὑποφέρω	to endure
ὑποχωρέω	to withdraw
ὑπωπιάζω	to wear out
ὗς	female pig
ὑσσός	javelin
ὕσσωπος	hyssop
ὑστερέω	to lack
ὑστέρημα	what is lacking
ὑστέρησις	need
ὕστερος	(comp.) later
ὑφαίνω	to weave
ὑφαντός	woven
ὑψηλός	high
ὑψηλοφρονέω	to be arrogant
ὕψιστος	highest
ὕψος	height
ὑψόω	to lift up
ὕψωμα	height
φάγος	glutton
φαιλόνης	cloak
φαίνω	(act.) to shine
Φάλεκ	Peleg
φανερόω	(act.) to reveal
φανερῶς	visible
φανέρωσις	manifestation
φανός	torch
Φανουήλ	Phanuel
φαντάζω	(pass.) to become visible
φαντασία	pomp
φάντασμα	ghost
φάραγξ	valley
Φαραώ	Pharaoh
Φαρές	Perez
Φαρισαῖος	Pharisee
φαρμακεία	witchcraft
φαρμακεύς	magician
φάρμακον	magic potion
φάρμακος	one who practices magical arts
φάσις	news
φάσκω	to claim
φάτνη	manger
φαῦλος	evil
φέγγος	light
φείδομαι	to spare
φειδομένως	sparingly
φελόνης	cloak
φέρω	to bring
φεύγω	flee
Φῆλιξ	Felix
φήμη	news
φημί	to say
φημίζω	to spread (news) by saying
Φῆστος	Festus
φθάνω	to precede
φθαρτός	perishable
φθέγγομαι	to speak
φθείρω	to destroy
φθινοπωρινός	pertaining to the (late) autumn
φθόγγος	voice
φθονέω	to envy
φθόνος	envy
φθορά	perishableness
φιάλη	bowl
φιλάγαθος	loving what is good
Φιλαδέλφεια	Philadelphia
φιλαδελφία	brotherly love
φιλάδελφος	loving as brothers
φίλανδρος	loving one's husband
φιλανθρωπία	love
φιλανθρώπως	in kindness
φιλαργυρία	love of money
φιλάργυρος	money-loving
φίλαυτος	loving oneself
φιλέω	to love
φιλήδονος	loving pleasure
φίλημα	kiss
Φιλήμων	Philemon
Φίλητος	Philetus
φιλία	friendship
Φιλιππήσιος	Philippian
Φίλιπποι	Philippi
Φίλιππος	Philip
φιλόθεος	loving God
Φιλόλογος	Philologus
φιλονεικία	dispute
φιλόνεικος	contentious
φιλοξενία	hospitality
φιλόξενος	hospitable
φιλοπρωτεύω	to love to be first
φίλος	(a.) friendly
φιλοσοφία	philosophy
φιλόσοφος	philosopher
φιλόστοργος	devoted
φιλότεκνος	loving one's children
φιλοτιμέομαι	to have an ambition
φιλοφρόνως	hospitably
φιλόφρων	well disposed
φιμόω	to muzzle
Φλέγων	Phlegon
φλογίζω	to set on fire
φλόξ	flame
φλυαρέω	to gossip
φλύαρος	gossipy
φοβέομαι	to fear
φοβερός	fearful
φόβητρον	fearful event
φόβος	fear
Φοίβη	Phoebe
Φοινίκη	Phoenicia
Φοῖνιξ	palm tree
φονεύς	murderer
φονεύω	to commit murder
φόνος	murder
φορέω	to wear
φόρον	forum
φόρος	tax
φορτίζω	to load down (with a burden)
φορτίον	burden
φόρτος	cargo
Φορτουνᾶτος	Fortunatus
φραγέλλιον	whip
φραγελλόω	to flog
φραγμός	barrier
φράζω	to explain
φράσσω	to shut
φρέαρ	well
φρεναπατάω	to deceive
φρεναπάτης	deceiver
φρήν	(pl.) thinking
φρίσσω	to shudder
φρονέω	to think
φρόνημα	mind
φρόνησις	wisdom
φρονίμως	wise
φροντίζω	to be careful
φρουρέω	to guard
φρυάσσω	to rage
φρύγανον	brushwood
Φρυγία	Phrygia
φυγαδεύω	(tr.) to cause to become a fugitive
Φύγελος	Phygelus
φυγή	flight
φυλακή	prison
φυλακίζω	to imprison
φυλακτήριον	phylactery
φύλαξ	guard
φυλάσσω	to obey
φυλή	tribe
φύλλον	leaf
φύραμα	lump (of clay)
φυσικῶς	pertaining to things of nature: natural
φυσιόω	to puff up
φύσις	nature
φυσίωσις	arrogance
φυτεία	plant
φυτεύω	to plant
φύω	to grow up
φωλεός	hole (in the ground)
φωνέω	to call (out)
φωνή	voice
φῶς	light
φωστήρ	star
φωσφόρος	light-bearing
φωτεινός	full of light
φωτίζω	to give light
φωτισμός	light
χαίρω	to rejoice
χάλαζα	hail
χαλάω	to lower
Χαλδαῖος	Chaldean
χαλεπός	difficult
χαλιναγωγέω	to keep in check
χαλινός	bit
χαλινόω	to bridle
χάλκεος	made of bronze
χαλκεύς	metalworker
χαλκηδών	chalcedony
χαλκίον	(copper or bronze) kettle
χαλκολίβανον	burnished bronze
χαλκός	copper
χαλκοῦς	made of bronze
χαμαί	to the ground
Χανάαν	Canaan
Χαναναῖος	Canaanite
χαρά	joy
χάραγμα	mark
χαρακτήρ	exact representation
χάραξ	barricade
χαρίζομαι	to give grace
χάριν	therefore
χάρις	grace
χάρισμα	gracious gift
χαριτόω	to give graciously
Χαρράν	Haran
χάρτης	(papyrus) paper
χάσμα	chasm
χεῖλος	lip
χειμάζω	(pass.) to be battered in a storm
χειμάρρους	valley
χειμών	winter
χείρ	hand
χειραγωγέω	to lead by the hand
χειραγωγός	someone who leads by the hand
χειρόγραφον	written code
χειροποίητος	hand-made
χειροτονέω	to appoint
χείρων	worse (than)
Χερούβ	(pl.) cherubim
χήρα	widow
χθές	yesterday
χιλίαρχος	military officer
χιλιάς	thousand
χίλιοι	thousand
χίος	Kios
χιτών	tunic
χιών	snow
χλαμύς	robe
χλευάζω	to sneer
χλιαρός	lukewarm
χλόη	Chloe
χλωρός	light green
χξςʼ	666
χοι&κός	made of dust
χοῖνιξ	(almost one liter or) quart
χοῖρος	pig
χολάω	to be angry
χολή	gall
χόος	dust
χορηγέω	to supply
χορτάζω	to feed
χόρτασμα	food
χόρτος	grass
χουζᾶς	Cuza
χοῦς	dust
χράομαι	to make use of
χρεία	need
χρεωφειλέτης	debtor
χρή	it should
χρῄζω	to need
χρῆμα	money
χρηματίζω	to warn
χρηματισμός	proclamation or answer from God
χρήσιμος	pertaining to value
χρῆσις	relations
χρηστεύομαι	to be kind
χρηστολογία	smooth talk
χρηστός	easy
χρηστότης	kindness
χρῖσμα	anointing
Χριστιανός	Christian
Χριστός	Christ
χρίω	to anoint (physically
χρονίζω	to take a long time
χρόνος	time
χρονοτριβέω	to spend time
χρύσεος	made of gold
χρυσίον	gold
χρυσοδακτύλιος	having or wearing a gold ring
χρυσόλιθος	chrysolite
χρυσόπρασος	chrysoprase (an apple-green quartz)
χρυσός	gold
χρυσοῦς	made of gold
χρυσόω	(pass.) to be adorned with gold
χρώς	skin
χωλός	lame
χώρα	country
Χωραζίν	Korazin
χωρέω	to go
χωρίζω	to divide
χωρίον	place
χωρίς	(adv.) by itself
χωρισμός	division
χῶρος	dance
ψάλλω	to sing hymns
ψαλμός	Psalms (book of or section of OT)
ψευδάδελφος	false brother
ψευδαπόστολος	false apostle
ψευδής	false
ψευδοδιδάσκαλος	false teacher
ψευδολόγος	false of speech
ψεύδομαι	to lie
ψευδομαρτυρέω	to give false testimony
ψευδομαρτυρία	false testimony
ψευδόμαρτυς	false witness
ψευδοπροφήτης	false prophet
ψεῦδος	lie
ψευδόχριστος	(pl.) false Christs
ψευδώνυμος	falsely called or identified
ψεῦσμα	falsehood
ψεύστης	liar
ψηλαφάω	to touch
ψηφίζω	to calculate
ψῆφος	stone
ψιθυρισμός	whispering gossip
ψιθυριστής	gossip
ψίξ	bit
ψιχίον	crumb
ψυχή	life
ψυχικός	pertaining to the natural state: physical
ψῦχος	cold
ψυχρός	cold
ψύχω	(pass.) to grow cold
ψωμίζω	to feed
ψωμίον	piece of bread
ψώχω	to rub
ὦ	letter of the Greek alphabet
Ὠβήδ	Obed
ὧδε	this (one)
ᾠδή	song
ὠδίν	labor
ὠδίνω	to suffer the pains of childbirth
ὦμος	(pl.) shoulders
ὠνέομαι	to buy
ᾠόν	egg
ὥρα	hour
ὡραῖος	beautiful
ὠρύομαι	to roar
ὡς	who
ὡσάν	as if
ὡσαννά	Hosanna! (exclamation of praise
ὡσαύτως	in the same way
ὡσεί	like
Ὡσηέ	Hosea
ὥσπερ	whosoever
ὡσπερεί	like
ὥστε	a marker for introducing clauses: for this reason
ὠτάριον	ear
ὠτίον	ear
ὠφέλεια	value
ὠφελέω	to be of good use
ὠφέλιμος	valuable
